,threads,size,nproma,repetition,execution_time
872,2,8192,16,12,831
873,1,8192,128,18,1359
874,16,16384,16,10,240
875,16,8192,16,4,122
876,1,32768,128,14,5418
877,2,262144,16,9,26666
878,8,65536,16,12,1823
879,16,65536,16,17,1173
880,16,4096,16,19,66
881,8,65536,16,2,1819
882,2,131072,16,16,13293
883,1,65536,128,5,10835
884,32,8192,16,8,66
885,1,65536,64,14,10869
886,4,262144,16,3,13473
887,1,131072,16,5,22533
888,2,32768,16,10,3334
889,1,16384,64,13,2719
890,32,8192,16,18,68
891,1,16384,128,2,2708
892,2,131072,16,11,13298
893,8,65536,16,5,1822
894,1,65536,64,13,10872
895,1,65536,128,2,10818
896,1,4096,16,8,711
897,2,32768,16,17,3334
898,1,131072,16,2,22544
899,4,262144,16,4,13468
900,1,16384,128,5,2708
901,1,16384,64,14,2721
902,8,16384,16,12,441
903,2,8192,16,15,836
904,16,8192,16,3,121
905,16,16384,16,17,241
906,1,32768,128,13,5407
907,8,65536,16,15,1828
908,16,65536,16,10,1194
909,16,262144,16,9,5498
910,32,131072,16,8,1704
911,2,65536,16,17,6663
912,2,262144,16,15,26615
913,4,8192,16,18,421
914,1,262144,128,16,43293
915,2,16384,16,10,1678
916,16,262144,16,19,5477
917,1,32768,128,2,5414
918,1,32768,64,13,5432
919,1,262144,128,8,43173
920,1,262144,64,19,43452
921,8,32768,16,15,872
922,8,16384,16,6,441
923,1,4096,64,5,680
924,2,4096,16,10,420
925,8,32768,16,9,870
926,16,32768,16,10,482
927,4,4096,16,1,213
928,8,4096,16,4,112
929,8,32768,16,12,868
930,1,131072,64,8,21758
931,2,4096,16,17,419
932,8,16384,16,1,441
933,1,4096,64,2,680
934,16,32768,16,17,474
935,4,4096,16,6,212
936,8,4096,16,3,113
937,2,262144,16,12,26633
938,2,65536,16,10,6655
939,1,262144,128,11,43181
940,2,8192,16,9,833
941,2,16384,16,17,1677
942,1,32768,64,14,5440
943,1,32768,128,5,5419
944,4,65536,16,14,3359
945,1,262144,128,1,43160
946,1,262144,64,10,43460
947,1,131072,64,6,21711
948,2,4096,16,19,422
949,16,32768,16,19,481
950,1,4096,16,12,711
951,8,32768,16,0,873
952,4,16384,16,13,848
953,4,4096,16,8,213
954,16,262144,16,0,5484
955,4,8192,16,11,422
956,32,131072,16,1,1669
957,8,262144,16,5,7563
958,16,8192,16,12,123
959,32,4096,16,13,38
960,2,8192,16,7,834
961,16,262144,16,10,5484
962,2,16384,16,19,1678
963,16,262144,16,7,5471
964,2,65536,16,19,6672
965,4,8192,16,16,422
966,8,262144,16,2,7549
967,32,131072,16,6,1682
968,16,8192,16,15,121
969,1,262144,128,18,43179
970,32,4096,16,14,40
971,2,8192,16,0,833
972,16,262144,16,17,5519
973,4,65536,16,13,3380
974,1,131072,64,1,21737
975,1,262144,64,17,43438
976,1,262144,128,6,43268
977,8,16384,16,8,440
978,1,4096,16,15,710
979,8,32768,16,7,873
980,4,16384,16,14,846
981,32,32768,16,1,254
982,32,4096,16,2,39
983,1,8192,16,5,1414
984,2,131072,16,4,13299
985,1,32768,16,11,5638
986,1,65536,64,1,10871
987,1,4096,128,16,683
988,1,4096,128,8,683
989,1,4096,64,19,681
990,1,262144,16,8,45086
991,8,262144,16,19,7546
992,16,65536,16,9,1196
993,1,16384,128,12,2707
994,32,131072,16,19,1721
995,2,16384,16,4,1677
996,8,4096,16,12,112
997,1,32768,16,0,5636
998,1,65536,64,6,10874
999,1,4096,128,11,683
1000,16,4096,16,9,70
1001,4,131072,16,9,6726
1002,1,16384,128,15,2712
1003,1,16384,16,8,2823
1004,8,4096,16,15,112
1005,2,16384,16,3,1675
1006,1,32768,16,7,5640
1007,32,32768,16,6,256
1008,32,16384,16,9,138
1009,32,4096,16,5,40
1010,4,131072,16,19,6727
1011,1,8192,16,2,1413
1012,1,32768,16,16,5640
1013,2,131072,16,3,13300
1014,1,262144,16,12,45054
1015,16,4096,16,7,69
